# author: alec nagal
#data for use with the plot_3vars.py file
# this is in nano seconds
Problem Size,late direct,late indirect,late vector
8388608,0.93,1.2,1.04
16777216,0.85,1.23,0.83
33554432,0.77,1.34,0.81
67108864,0.69,2.59,0.90
134217728,0.64,0.75,0.79
268435456,0.66,0.82,0.56
